id,first_name,last_name,player_type,active,bats,throws,birth_year,bbref_id,mlb_id,bp_id,cbs_id,espn_id,fg_id
aardsda01,David,Aardsma,p,1,r,r,1981,aardsda01,430911,45369,479025,5933,1902
abadfe01,Fernando,Abad,p,1,l,l,1985,abadfe01,472551,49706,1723564,30417,4994
abreujo02,Jose,Abreu,h,1,r,r,1987,abreujo02,547989,102005,2106364,33095,15676
abreuto01,Tony,Abreu,h,1,s,r,1984,abreuto01,473234,46923,593265,28777,5053
acevean01,Andury,Acevedo,p,1,r,r,1990,,524349,57627,2210866,34879,sa395471
aceveal01,Alfredo,Aceves,p,1,r,r,1982,aceveal01,469686,46928,1638980,29223,5164
achteaj01,A.J.,Achter,p,1,r,r,1988,achteaj01,592091,66919,2146207,33637,11387
ackledu01,Dustin,Ackley,h,1,l,r,1988,ackledu01,554429,61057,1699742,30372,10099
acostma01,Manny,Acosta,p,1,r,r,1981,acostma01,407924,31858,1171066,28853,8725
acunaro01,Ronald,Acuna,h,1,r,r,1997,,,,,,
adamecr01,Cristhian,Adames,h,1,s,r,1991,adamecr01,542436,59755,1959299,31659,6013
adamewi01,Willy,Adames,h,1,r,r,1995,,642715,103209,2165933,33675,sa736655
adamsau01,Austin,Adams,p,1,r,r,1986,adamsau01,542866,59978,1936043,31660,7411
adamsau02,Austin,Adams,p,1,r,r,1991,adamsau02,613534,100392,2444539,36046,13801
adamsch01,Chance,Adams,p,1,r,r,1994,,,,,,
adamsda02,David,Adams,h,1,r,r,1987,adamsda02,458691,58003,1740903,30679,7389
adamsla01,Lane,Adams,h,1,r,r,1989,adamsla01,572669,60150,2048786,32911,10767
adamsma01,Matt,Adams,h,1,l,r,1988,adamsma01,571431,59582,1810388,31359,9393
adamsmi03,Mike,Adams,p,1,r,r,1978,adamsmi03,430606,31362,392251,5969,1937
adcocna01,Nate,Adcock,p,1,r,r,1988,adcocna01,502264,50210,1753910,31518,3282
adducji02,Jim,Adduci,h,1,l,l,1985,adducji02,451192,46943,549732,30019,6448
adlemti01,Tim,Adleman,p,1,r,r,1987,adlemti01,534947,65945,2170252,33962,10968
adriaeh01,Ehire,Adrianza,h,1,s,r,1989,adriaeh01,501303,50677,1666190,30471,8418
affelje01,Jeremy,Affeldt,p,1,l,l,1979,affelje01,346793,1354,223741,5061,583
aguilje01,Jesus,Aguilar,h,1,r,r,1990,aguilje01,542583,59871,1947830,32132,11342
ahmedni01,Nick,Ahmed,h,1,r,r,1990,ahmedni01,605113,69508,1959715,32355,12147
aikenbr01,Brady,Aiken,p,1,l,l,1996,,,,,,
albaljo01,Jonathan,Albaladejo,p,1,r,r,1982,albaljo01,452293,46956,1262923,28897,3521
alberan01,Andrew,Albers,p,1,r,l,1985,alberan01,452027,52617,2044380,32754,7853
alberma01,Matt,Albers,p,1,l,r,1983,alberma01,458006,31948,580567,28525,4300
alberha01,Hanser,Alberto,h,1,r,r,1992,alberha01,593643,67418,2044664,32839,11902
albieoz01,Ozzie,Albies,h,1,s,r,1997,albieoz01,645277,104004,2167464,33783,16556
albural01,Al,Alburquerque,p,1,r,r,1986,albural01,456379,52489,1725468,30494,6324
alcanar01,Arismendy,Alcantara,h,1,s,r,1991,alcanar01,570489,66268,2044523,32823,10711
alcanra01,Raul,Alcantara,p,1,r,r,1992,alcanra01,593417,67237,1947850,32119,12790
alcansa01,Sandy,Alcantara,p,1,r,r,1995,alcansa01,645261,104002,2211794,35241,18684
alcanvi01,Victor,Alcantara,p,1,r,r,1993,alcanvi01,622505,100959,2167469,33784,15028
alexasc02,Scott,Alexander,p,1,l,l,1989,alexasc02,518397,65851,2113509,33123,10591
alfarjo01,Jorge,Alfaro,h,1,r,r,1993,alfarjo01,595751,68062,1846227,31737,12180
alforan01,Anthony,Alford,h,1,r,r,1994,alforan01,546990,100152,2044547,32812,14329
allarko01,Kolby,Allard,p,1,l,l,1997,,,,,,
allenbr01,Brandon,Allen,h,1,l,r,1986,allenbr01,450315,46899,1208989,30070,7436
allenco01,Cody,Allen,p,1,r,r,1988,allenco01,592102,68494,1953416,32188,12183
allengr01,Greg,Allen,h,1,s,r,1993,allengr01,656185,104718,2171381,34187,16623
almonab01,Abraham,Almonte,h,1,s,r,1989,almonab01,501659,50910,1813191,31474,5486
almonmi01,Miguel,Almonte,p,1,r,r,1993,almonmi01,602083,69448,2044500,32768,14139
almonye01,Yency,Almonte,p,1,s,r,1994,,622075,100720,2118907,36064,sa658334
almonzo01,Zoilo,Almonte,h,1,s,r,1989,almonzo01,501660,50911,1812890,31469,6732
almoral01,Albert,Almora Jr.,h,1,r,r,1994,almoral01,546991,70339,2000031,32686,14109
alonsyo01,Yonder,Alonso,h,1,l,r,1987,alonsyo01,475174,58012,1629156,30016,2530
altavda01,Dan,Altavilla,p,1,r,r,1992,altavda01,656186,104719,2169865,35222,16507
altheaa01,Aaron,Altherr,h,1,r,r,1991,altheaa01,571437,59584,2107840,31738,11270
altuvjo01,Jose,Altuve,h,1,r,r,1990,altuvjo01,514888,55877,1839905,31662,5417
alvarjo03,Jose,Alvarado,p,1,l,l,1995,alvarjo03,621237,100568,2444515,36063,17780
alvarda02,Dariel,Alvarez,h,1,r,r,1988,alvarda02,645848,103699,2118868,33315,15580
alvarda01,Dario,Alvarez,p,1,l,l,1989,alvarda01,516714,55880,2146191,33635,14239
alvarel01,Eliezer,Alvarez,h,1,l,r,1994,,608421,100268,2211802,36058,sa657261
alvarhe01,Henderson,Alvarez,p,1,r,r,1990,alvarhe01,506693,55886,1756627,31047,5669
alvarjo02,Jose,Alvarez,p,1,l,l,1989,alvarjo02,501625,50878,1945280,32099,5358
alvarpe01,Pedro,Alvarez,h,1,l,r,1987,alvarpe01,476883,59218,1630071,29962,2495
alvarrj01,R.J.,Alvarez,p,1,r,r,1991,alvarrj01,571439,100166,2044115,32730,13401
alvarya01,Yadier,Alvarez,p,1,r,r,1996,,,,,,
amarial01,Alexi,Amarista,h,1,l,r,1989,amarial01,506560,55889,1735053,30562,9063
ambrihe01,Hector,Ambriz,p,1,l,r,1984,ambrihe01,459932,52005,1531174,29795,559
amesst01,Steve,Ames,p,1,r,r,1988,amesst01,571441,60681,1962292,31586,9615
anderbr04,Brett,Anderson,p,1,l,l,1988,anderbr04,474463,57286,1611137,30041,8223
anderbr06,Brian,Anderson,h,1,r,r,1993,anderbr06,605119,70928,2167336,33776,18289
anderbr05,Bryan,Anderson,h,1,l,r,1986,anderbr05,457762,46972,593266,29697,9871
anderch01,Chase,Anderson,p,1,r,r,1987,anderch01,502624,59304,2027498,32690,6895
anderco01,Cody,Anderson,p,1,r,r,1990,anderco01,594736,68741,2116982,33183,12799
anderdr02,Drew,Anderson,p,1,r,r,1994,anderdr02,623454,55895,2443746,28617,15130
anderla03,Lars,Anderson,h,1,l,l,1987,anderla03,502249,55897,1599165,29299,9018
anderti01,Tim,Anderson,h,1,r,r,1993,anderti01,641313,102503,2066301,33184,15172
anderty01,Tyler,Anderson,p,1,l,l,1989,anderty01,542881,65947,1894636,32151,12880
andinro01,Robert,Andino,h,1,r,r,1984,andinro01,435180,32118,546224,6414,4900
andrima01,Matt,Andriese,p,1,r,r,1989,andrima01,542882,69156,2114451,32549,12022
andruel01,Elvis,Andrus,h,1,r,r,1988,andruel01,462101,46980,1099374,29515,8709
andujmi01,Miguel,Andujar,h,1,r,r,1995,andujmi01,609280,100349,2167340,33743,15878
annade01,Dean,Anna,h,1,l,r,1986,annade01,542883,58021,1741372,30851,8353
antoldu01,Dustin,Antolin,p,1,r,r,1989,antoldu01,542884,58022,1963302,32503,7119
aokino01,Nori,Aoki,h,1,l,r,1982,aokino01,493114,51312,1937143,32053,13075
aplinan01,Andrew,Aplin,h,1,l,l,1991,,545331,99926,2120618,33457,sa502787
appelma01,Mark,Appel,p,1,r,r,1991,,571446,70348,2066290,33141,sa501726
aquinar01,Aristides,Aquino,h,1,r,r,1994,,606157,69634,2167457,33785,sa597058
aquinja01,Jayson,Aquino,p,1,l,l,1992,aquinja01,593969,67599,2053470,33100,13150
aranovi01,Victor,Arano,p,1,r,r,1995,aranovi01,644364,103580,2599645,36120,15915
araujel01,Elvis,Araujo,p,1,l,l,1991,araujel01,542587,59874,2158179,33639,12854
archech01,Chris,Archer,p,1,r,r,1988,archech01,502042,50101,1758899,31003,6345
arciaor01,Orlando,Arcia,h,1,r,r,1994,arciaor01,606115,69600,2041500,32530,13185
arciaos01,Oswaldo,Arcia,h,1,l,r,1991,arciaos01,542455,59769,1803783,31262,10306
arenano01,Nolan,Arenado,h,1,r,r,1991,arenano01,571448,59586,1755142,31261,9777
arencjp01,J.P.,Arencibia,h,1,r,r,1986,arencjp01,450317,52678,1522585,29537,697
ariases01,Estarlin,Arias,p,1,r,r,1994,,620145,102104,,,sa739879
ariasjo01,Joaquin,Arias,h,1,r,r,1984,ariasjo01,435078,45382,538911,28603,3817
armstsh01,Shawn,Armstrong,p,1,r,r,1990,armstsh01,542888,70293,2121144,33499,12857
arojo01,Jonathan,Aro,p,1,r,r,1990,arojo01,608167,70253,2171856,34481,14699
arredjo01,Jose,Arredondo,p,1,r,r,1984,arredjo01,461766,47009,580578,29113,4722
arrieja01,Jake,Arrieta,p,1,r,r,1986,arrieja01,453562,52691,1619229,30145,4153
arroybr01,Bronson,Arroyo,p,1,r,r,1977,arroybr01,276520,702,22106,4416,978
arroych01,Christian,Arroyo,h,1,r,r,1995,arroych01,624414,101604,2066307,33185,16434
arrueba01,Erisbel,Arruebarrena,h,1,r,r,1990,arrueba01,628326,102261,2118180,33307,15809
ascheco01,Cody,Asche,h,1,l,r,1990,ascheco01,605125,69512,2039891,32637,11997
valdelu01,Jairo,Asencio,p,1,r,r,1983,valdelu01,446003,49041,1647785,30291,3332
asheral01,Alec,Asher,p,1,r,r,1991,asheral01,594742,68743,2118803,33787,13560
ashlene01,Nevin,Ashley,h,1,r,r,1984,ashlene01,502213,50186,1663585,30211,3274
astinba01,Barrett,Astin,p,1,r,r,1991,astinba01,592120,102027,2443485,36043,14812
asuajca01,Carlos,Asuaje,h,1,l,r,1991,asuajca01,641319,102507,2169699,33892,15197
atchisc01,Scott,Atchison,p,1,r,r,1976,atchisc01,425786,32273,293126,4755,2642
aumonph01,Phillippe,Aumont,p,1,l,r,1989,aumonph01,518418,57739,1499971,29501,5362
austity01,Tyler,Austin,h,1,r,r,1991,austity01,592122,66927,1947847,32161,11850
averyxa01,Xavier,Avery,h,1,l,l,1990,averyxa01,542897,58035,1741206,30827,8471
avilaal01,Alex,Avila,h,1,l,r,1987,avilaal01,488671,58899,1660422,30115,7476
avilalu01,Luis,Avilan,p,1,l,l,1989,avilalu01,501593,50866,1812884,31465,2882
avilemi01,Mike,Aviles,h,1,r,r,1981,avilemi01,449107,45386,490430,29145,5986
axelrdy01,Dylan,Axelrod,p,1,r,r,1985,axelrdy01,518420,55929,1600752,29727,9303
axforjo01,John,Axford,p,1,r,r,1983,axforjo01,446099,55512,1707287,30378,9059
ayalalu01,Luis,Ayala,p,1,r,r,1978,ayalalu01,425646,16597,225309,5389,1650
aybarer01,Erick,Aybar,h,1,s,r,1984,aybarer01,430947,32318,479165,6522,4082
badenbu01,Burke,Badenhop,p,1,r,r,1983,badenbu01,488674,45681,1473574,29090,9736
baderha01,Harrison,Bader,h,1,r,r,1994,baderha01,664056,105531,2211761,35062,18030
baezja01,Javier,Baez,h,1,r,r,1992,baezja01,595879,70387,1894628,32127,12979
baezpe01,Pedro,Baez,p,1,r,r,1988,baezpe01,520980,55520,1670544,30694,5420
baezsa01,Sandy,Baez,p,1,r,r,1993,,622783,101187,2443744,36059,sa657709
bailean01,Andrew,Bailey,p,1,r,r,1984,bailean01,457732,51989,1655624,30096,1368
baileho02,Homer,Bailey,p,1,r,r,1986,baileho02,456701,45612,583492,28668,8362
bakerdy01,Dylan,Baker,p,1,r,r,1992,,621173,100532,2210218,34867,sa658002
bakerje03,Jeff,Baker,h,1,r,r,1981,bakerje03,425557,45387,390794,5371,2073
bakerjo01,John,Baker,h,1,l,r,1981,bakerjo01,434633,32395,532994,29183,4756
bakersc02,Scott,Baker,p,1,r,r,1981,bakersc02,435044,45498,546225,6261,6176
balesco01,Collin,Balester,p,1,r,r,1986,balesco01,444446,45673,1262856,28967,6883
balfogr01,Grant,Balfour,p,1,r,r,1977,balfogr01,346797,16715,223474,4811,718
bandaan01,Anthony,Banda,p,1,l,l,1993,bandaan01,607455,71071,2227751,34542,14706
bandyje01,Jett,Bandy,h,1,r,r,1990,bandyje01,542908,69158,1937336,32056,12508
bantzbr01,Brandon,Bantz,h,1,r,r,1987,bantzbr01,572702,60162,2064722,33085,9442
banuema01,Manny,Banuelos,p,1,r,l,1991,banuema01,544365,58044,1799265,31123,5365
barbajo01,Johnny,Barbato,p,1,r,r,1992,barbajo01,592127,68506,2034701,32613,11440
bardda01,Daniel,Bard,p,1,r,r,1985,bardda01,453268,55530,1662777,30158,7115
barmecl01,Clint,Barmes,h,1,r,r,1979,barmecl01,425549,32450,292678,5798,1830
barneau01,Austin,Barnes,h,1,r,r,1989,barneau01,605131,69513,2046041,32856,12158
barnebr02,Brandon,Barnes,h,1,r,r,1986,barnebr02,488681,49251,1740907,30732,629
barneda02,Danny,Barnes,p,1,l,r,1989,barneda02,592130,66928,1963303,32499,11388
barneja01,Jacob,Barnes,p,1,r,r,1990,barneja01,606930,69837,2210103,34868,12323
barnema01,Matt,Barnes,p,1,r,r,1990,barnema01,598264,70758,1947821,32147,12863
barnesc01,Scott,Barnes,p,1,l,l,1987,barnesc01,488683,58048,1666820,30789,8718
barneto01,Tony,Barnette,p,1,r,r,1983,barneto01,501817,51059,1663015,30181,3555
barneda01,Darwin,Barney,h,1,r,r,1985,barneda01,446381,57645,1599166,29567,2430
barnhtu01,Tucker,Barnhart,h,1,s,r,1991,barnhtu01,571466,59592,1803883,31173,10200
baronst01,Steve,Baron,h,1,r,r,1990,baronst01,571467,59593,1732484,30570,9787
barraky01,Kyle,Barraclough,p,1,r,r,1990,barraky01,607457,71177,2186085,34830,13713
barrefr02,Franklin,Barreto,h,1,r,r,1996,barrefr02,620439,102106,2117139,33226,15519
barreaa01,Aaron,Barrett,p,1,r,r,1988,barreaa01,502578,65829,2052550,33005,11243
barreja01,Jake,Barrett,p,1,r,r,1991,barreja01,545332,99823,2078663,33120,13322
barriyh01,Yhonathan,Barrios,p,1,s,r,1991,barriyh01,553872,69198,2171609,34224,11166
bartlja01,Jason,Bartlett,h,1,r,r,1979,bartlja01,430583,32500,392862,6044,8219
bartoda02,Daric,Barton,h,1,l,r,1985,bartoda02,435558,45389,546496,6397,5928
bassan01,Anthony,Bass,p,1,r,r,1987,bassan01,542914,58823,1793606,31144,7982
bassich01,Chris,Bassitt,p,1,r,r,1989,bassich01,605135,69516,2114418,33148,12304
bastaan01,Antonio,Bastardo,p,1,r,l,1985,bastaan01,455374,52360,1618624,30105,8844
bauertr01,Trevor,Bauer,p,1,r,r,1991,bauertr01,545333,70335,1852623,32014,12703
bauerja01,Jake,Bauers,h,1,l,l,1995,,,,,,
baumabu01,Buddy,Baumann,p,1,l,l,1987,baumabu01,571473,59595,1809524,31797,9309
bautijo02,Jose,Bautista,h,1,r,r,1980,bautijo02,430832,32570,392528,5890,1887
bautira01,Rafael,Bautista,h,1,r,r,1993,bautira01,622441,100904,2121210,33510,15769
baxtemi01,Mike,Baxter,h,1,l,r,1984,baxtemi01,488689,49255,1200050,29723,4464
beachbr01,Brandon,Beachy,p,1,r,r,1986,beachbr01,545404,58054,1770803,30962,8851
beatope01,Pedro,Beato,p,1,r,r,1986,beatope01,474039,49753,1630072,30989,1330
beavabl01,Blake,Beavan,p,1,r,r,1989,beavabl01,518444,57741,1755140,31018,338
becerwu01,Wuilmer,Becerra,h,1,r,r,1994,,610141,100353,2226038,35006,sa659205
beckch02,Chris,Beck,p,1,r,r,1990,beckch02,571476,99939,2044526,32826,13418
beckejo02,Josh,Beckett,p,1,r,r,1980,beckejo02,277417,489,174887,4242,510
beckhgo01,Gordon,Beckham,h,1,r,r,1986,beckhgo01,493596,58057,1660445,30117,9015
beckhti01,Tim,Beckham,h,1,r,r,1990,beckhti01,542921,58058,1663586,30212,7949
bedarer01,Erik,Bedard,p,1,l,l,1979,bedarer01,407853,1195,288939,5099,126
bedroca01,Cam,Bedrosian,p,1,r,r,1991,bedroca01,592135,66930,1757977,31716,13360
beedety01,Tyler,Beede,p,1,r,r,1993,,,,,,
beeleda01,Dallas,Beeler,p,1,r,r,1989,beeleda01,542923,65949,2107831,33099,11471
beimejo01,Joe,Beimel,p,1,l,l,1977,beimejo01,346847,703,212251,4632,979
belfimi01,Mike,Belfiore,p,1,r,l,1988,belfimi01,506988,59318,2027404,31692,9324
belisro01,Ronald,Belisario,p,1,r,r,1982,belisro01,430613,32630,448908,29680,2203
belisma01,Matt,Belisle,p,1,r,r,1980,belisma01,279571,31338,174984,5829,1837
belivje01,Jeff,Beliveau,p,1,l,l,1987,belivje01,542924,58059,1915127,32037,8504
bellch02,Chad,Bell,p,1,r,l,1989,bellch02,518445,65853,2046775,32876,10297
bellhe01,Heath,Bell,p,1,r,r,1977,bellhe01,425514,31497,383399,6084,2080
belljo01,Josh,Bell,h,1,s,r,1986,belljo01,458679,47065,1208691,29634,2510
belljo02,Josh,Bell,h,1,s,r,1992,belljo02,605137,70775,1940495,32517,13145
belltr01,Trevor,Bell,p,1,l,r,1986,belltr01,457707,47068,1666821,30371,7074
bellaan01,Andrew,Bellatti,p,1,r,r,1991,bellaan01,571479,59597,2167509,33811,10657
bellico01,Cody,Bellinger,h,1,l,l,1995,bellico01,641355,102519,2165919,33912,15998
belnovi01,Vince,Belnome,h,1,l,r,1988,belnovi01,572714,60169,1956434,31472,8126
belowdu01,Duane,Below,p,1,l,l,1985,belowdu01,502102,50127,1784663,31132,3124
beltbr01,Brandon,Belt,h,1,l,l,1988,beltbr01,474832,65767,1757973,30901,10264
beltrca01,Carlos,Beltran,h,1,s,r,1977,beltrca01,136860,1358,18817,3971,589
beltrad01,Adrian,Beltre,h,1,r,r,1979,beltrad01,134181,340,11491,3878,639
beltren01,Engel,Beltre,h,1,l,l,1989,beltren01,520976,55561,1630073,30304,4918
beninan01,Andrew,Benintendi,h,1,l,l,1994,beninan01,643217,105574,2184354,34986,17901
benoijo01,Joaquin,Benoit,p,1,r,r,1977,benoijo01,276542,1250,174659,4588,1437
beresja01,James,Beresford,h,1,l,r,1989,beresja01,503437,55567,1741753,30925,4626
bergmch01,Christian,Bergman,p,1,r,r,1988,bergmch01,548357,66039,2117265,33270,10925
berkeja01,Jason,Berken,p,1,r,r,1983,berkeja01,460072,52053,1666822,30363,5673
bernaro01,Roger,Bernadina,h,1,l,l,1984,bernaro01,465668,45390,547419,29173,6421
bernawy01,Wynton,Bernard,h,1,r,r,1990,,592144,100197,2050875,32981,sa658999
bernido01,Doug,Bernier,h,1,r,r,1980,bernido01,448674,32724,393544,29159,4518
berrijo01,Jose,Berrios,p,1,r,r,1994,berrijo01,621244,100574,2044503,32811,14168
berryqu01,Quintin,Berry,h,1,l,l,1984,berryqu01,450641,52341,1603009,30418,9414
berryti01,Tim,Berry,p,1,l,l,1991,,572718,66625,2107830,31605,sa503777
betande01,Dellin,Betances,p,1,r,r,1988,betande01,476454,49775,1623765,31122,6216
betanra01,Rafael,Betancourt,p,1,r,r,1975,betanra01,429783,32749,223412,3985,177
betemwi01,Wilson,Betemit,h,1,s,r,1981,betemwi01,400140,19093,212252,4968,1861
bethach01,Christian,Bethancourt,h,1,r,r,1991,bethach01,542194,60747,1718084,31758,10028
bettich01,Chad,Bettis,p,1,r,r,1989,bettich01,518452,65855,1941511,31718,10587
bettsmo01,Mookie,Betts,h,1,r,r,1992,bettsmo01,605141,70430,2106654,33039,13611
biagijo01,Joe,Biagini,p,1,r,r,1990,biagijo01,607352,70988,2211470,34882,13194
biancje01,Jeff,Bianchi,h,1,r,r,1986,biancje01,488703,45704,1725410,31760,9958
bibenau01,Austin,Bibens-Dirkx,p,1,r,r,1985,bibenau01,502212,50185,1225728,31344,9559
biddlje01,Jesse,Biddle,p,1,l,l,1991,,592145,66931,1757993,31762,sa548186
biggica01,Cavan,Biggio,h,1,l,r,1995,,624415,101605,,,sa738582
billibr02,Bruce,Billings,p,1,r,r,1985,billibr02,501852,55579,1833883,31081,3044
billich01,Chad,Billingsley,p,1,r,r,1984,billich01,451532,45503,584799,6476,5842
birdgr01,Greg,Bird,h,1,l,r,1992,birdgr01,595885,70388,2040761,32695,14131
bixlebr01,Brian,Bixler,h,1,r,r,1982,bixlebr01,444448,45731,1099498,29089,8055
blachty01,Ty,Blach,p,1,r,l,1990,blachty01,621389,101991,2114068,33138,14361
